Age,G,MP,FGA,3P,3P%,2PA,FT,FT%,DRB,AST,BLK,PF,Rk,Pos,Tm,GS,FG,FG%,3PA,2P,2P%,FTA,ORB,TRB,STL,TOV,PTS
23.0,12.0,247.0,99.0,14.0,0.35,59.0,6.0,0.75,28.0,46.0,8.0,19.0,420.0,PG,DET,7.0,40.0,0.404,40.0,26.0,0.441,8.0,10.0,38.0,15.0,16.0,100.0
32.0,19.0,391.0,116.0,5.0,0.25,96.0,6.0,0.4,56.0,90.0,4.0,18.0,421.0,PG,WAS,1.0,44.0,0.379,20.0,39.0,0.406,15.0,10.0,66.0,15.0,19.0,99.0
20.0,11.0,57.0,19.0,2.0,0.25,11.0,0.0,0.0,6.0,2.0,2.0,4.0,422.0,PF,PHO,0.0,7.0,0.368,8.0,5.0,0.455,2.0,5.0,11.0,0.0,1.0,16.0
29.0,23.0,420.0,85.0,35.0,0.565,23.0,0.0,0.0,36.0,27.0,7.0,31.0,423.0,SG,ATL,6.0,41.0,0.482,62.0,6.0,0.261,0.0,11.0,47.0,3.0,13.0,117.0
23.0,2.0,19.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,3.0,424.0,C,HOU,0.0,2.0,0.5,1.0,2.0,0.667,2.0,2.0,4.0,0.0,3.0,4.0
21.0,8.0,23.0,7.0,1.0,0.5,5.0,4.0,0.8,1.0,0.0,2.0,7.0,425.0,SG,IND,0.0,2.0,0.28600000000000003,2.0,1.0,0.2,5.0,2.0,3.0,0.0,1.0,9.0
23.0,24.0,346.0,94.0,2.0,0.118,77.0,23.0,0.7190000000000001,51.0,23.0,8.0,35.0,426.0,PF,CLE,0.0,38.0,0.404,17.0,36.0,0.468,32.0,12.0,63.0,11.0,15.0,101.0
19.0,34.0,626.0,146.0,1.0,0.2,141.0,22.0,0.688,116.0,24.0,34.0,88.0,427.0,C,DET,2.0,81.0,0.555,5.0,80.0,0.5670000000000001,32.0,80.0,196.0,18.0,30.0,185.0
24.0,19.0,283.0,103.0,31.0,0.365,18.0,10.0,0.7140000000000001,18.0,10.0,0.0,24.0,428.0,SF,MIA,0.0,47.0,0.456,85.0,16.0,0.889,14.0,2.0,20.0,3.0,3.0,135.0
25.0,22.0,251.0,82.0,9.0,0.34600000000000003,56.0,20.0,0.741,23.0,10.0,2.0,26.0,429.0,SG,IND,4.0,42.0,0.512,26.0,33.0,0.589,27.0,8.0,31.0,13.0,17.0,113.0
25.0,34.0,933.0,252.0,22.0,0.319,183.0,43.0,0.754,115.0,57.0,18.0,104.0,430.0,SF,HOU,22.0,135.0,0.536,69.0,113.0,0.617,57.0,64.0,179.0,32.0,40.0,335.0
22.0,31.0,1110.0,638.0,81.0,0.368,418.0,134.0,0.8590000000000001,201.0,138.0,15.0,60.0,431.0,SF,BOS,31.0,279.0,0.4370000000000001,220.0,198.0,0.474,156.0,18.0,219.0,42.0,79.0,773.0
32.0,28.0,506.0,158.0,19.0,0.422,113.0,43.0,0.8959999999999999,39.0,59.0,5.0,34.0,432.0,PG,BOS,4.0,59.0,0.373,45.0,40.0,0.354,48.0,7.0,46.0,23.0,32.0,180.0
34.0,33.0,936.0,250.0,45.0,0.344,119.0,31.0,0.816,87.0,68.0,18.0,77.0,433.0,SG,CHI,12.0,107.0,0.428,131.0,62.0,0.521,38.0,20.0,107.0,31.0,33.0,290.0
20.0,11.0,56.0,16.0,0.0,0.0,9.0,1.0,0.333,6.0,6.0,0.0,2.0,434.0,PG,DAL,0.0,5.0,0.312,7.0,5.0,0.556,3.0,0.0,6.0,5.0,2.0,11.0
28.0,34.0,827.0,220.0,27.0,0.37,147.0,40.0,0.667,127.0,46.0,38.0,98.0,435.0,C,BOS,29.0,124.0,0.564,73.0,97.0,0.66,60.0,43.0,170.0,21.0,35.0,315.0
24.0,4.0,24.0,7.0,1.0,0.16699999999999998,1.0,5.0,0.7140000000000001,3.0,4.0,1.0,5.0,436.0,SG,HOU,0.0,2.0,0.28600000000000003,6.0,1.0,1.0,7.0,1.0,4.0,1.0,4.0,10.0
26.0,21.0,145.0,46.0,12.0,0.387,15.0,5.0,0.833,13.0,9.0,0.0,8.0,437.0,SG,TOR,0.0,18.0,0.391,31.0,6.0,0.4,6.0,1.0,14.0,2.0,5.0,53.0
29.0,34.0,774.0,209.0,0.0,0.0,206.0,48.0,0.632,178.0,33.0,13.0,72.0,438.0,PF,BOS,29.0,111.0,0.531,3.0,111.0,0.539,76.0,105.0,283.0,12.0,31.0,270.0
26.0,11.0,53.0,13.0,3.0,0.5,7.0,0.0,0.0,2.0,2.0,0.0,3.0,439.0,SG,NOP,1.0,6.0,0.462,6.0,3.0,0.429,2.0,1.0,3.0,4.0,2.0,15.0
23.0,33.0,596.0,106.0,17.0,0.262,41.0,8.0,0.5710000000000001,36.0,31.0,30.0,66.0,440.0,SG,PHI,2.0,39.0,0.368,65.0,22.0,0.537,14.0,12.0,48.0,46.0,13.0,103.0
22.0,2.0,21.0,4.0,1.0,0.5,2.0,0.0,0.0,1.0,0.0,0.0,5.0,441.0,C,MEM,0.0,1.0,0.25,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0
22.0,27.0,551.0,158.0,10.0,0.28600000000000003,123.0,17.0,0.7390000000000001,85.0,45.0,16.0,64.0,442.0,PF,MEM,7.0,81.0,0.513,35.0,71.0,0.5770000000000001,23.0,40.0,125.0,25.0,24.0,189.0
22.0,27.0,342.0,107.0,13.0,0.295,63.0,10.0,0.7140000000000001,58.0,15.0,10.0,28.0,443.0,PF,NYK,0.0,52.0,0.486,44.0,39.0,0.619,14.0,9.0,67.0,8.0,15.0,127.0
27.0,23.0,474.0,94.0,15.0,0.429,59.0,13.0,0.722,87.0,51.0,12.0,48.0,444.0,SG,GSW,13.0,53.0,0.564,35.0,38.0,0.644,18.0,16.0,103.0,13.0,26.0,134.0
